FrameNumbers,Laser_ID,Points_X,Points_Y,Points_Z,Azimuth,Distance,Intensity,Distance_2,Intensity_2,
1,0,0.482366,-0.462716,-0.181921,134.88,0.66,0,0,0,
1,0,0.478194,-0.461507,-0.180818,135.06,0.656,0,0,0,
1,0,0.487571,-0.473928,-0.185228,135.24,0.672,1,0,0,
1,0,0.504972,-0.494629,-0.192946,135.42,0.7,1,0,0,
1,0,0.522247,-0.515443,-0.200664,135.6,0.728,1,0,0,
1,0,0.509899,-0.506059,-0.196254,135.78,0.712,2,0,0,
1,0,0.516325,-0.51595,-0.199561,135.96,0.724,2,0,0,
1,0,0.541344,-0.545294,-0.210587,136.14,0.764,2,0,0,
1,0,0.547595,-0.555334,-0.213895,136.32,0.776,2,0,0,
1,0,0.540554,-0.551473,-0.211689,136.5,0.768,3,0,0,
1,0,0.538819,-0.553169,-0.211689,136.68,0.768,4,0,0,
1,0,0.536982,-0.554953,-0.211689,136.87,0.768,17,0,0,
1,0,0.532616,-0.553823,-0.210587,137.05,0.764,32,0,0,
1,0,0.530873,-0.555493,-0.210587,137.23,0.764,43,0,0,
1,0,0.526523,-0.554327,-0.209484,137.41,0.76,32,0,0,
1,0,0.52747,-0.558726,-0.210587,137.58,0.764,56,0,0,
1,1,0.422841,-0.44458,-0.155291,137.603,0.6,0,0,0,
1,12,0.475356,-0.503406,-0.0460393,137.676,0.66,1,0,0,
1,0,0.523127,-0.557533,-0.209484,137.76,0.76,70,0,0,
1,1,0.41625,-0.440183,-0.153221,137.783,0.592,0,0,0,
1,12,0.471095,-0.501939,-0.0457602,137.856,0.656,1,0,0,
1,0,0.521373,-0.559174,-0.209484,137.94,0.76,67,0,0,
1,11,0.461115,-0.493678,-0.0561283,138.013,0.644,0,0,0,
1,12,0.466847,-0.500449,-0.0454812,138.036,0.652,1,0,0,
1,0,0.517047,-0.557946,-0.208382,138.12,0.756,71,0,0,
1,11,0.459562,-0.495125,-0.0561283,138.193,0.644,1,0,0,
1,12,0.475908,-0.513815,-0.0465973,138.216,0.668,1,0,0,
1,0,0.515292,-0.559568,-0.208382,138.3,0.756,68,0,0,
1,1,0.417221,-0.449858,-0.155291,138.323,0.6,0,0,0,
1,11,0.481827,-0.523373,-0.0592659,138.373,0.68,1,0,0,
1,12,0.468993,-0.50934,-0.0460393,138.396,0.66,1,0,0,
1,0,0.518629,-0.566942,-0.210587,138.48,0.764,73,0,0,
1,1,0.451646,-0.49168,-0.169785,138.503,0.656,0,0,0,
1,11,0.477543,-0.521897,-0.0589173,138.553,0.676,1,0,0,
1,12,0.45155,-0.492859,-0.0443651,138.576,0.636,1,0,0,
1,0,0.514305,-0.565682,-0.209484,138.66,0.76,72,0,0,
1,1,0.439896,-0.481489,-0.165644,138.682,0.64,0,0,0,
1,11,0.491671,-0.541366,-0.061009,138.733,0.7,2,0,0,
1,12,0.444738,-0.488274,-0.0438071,138.756,0.628,1,0,0,
1,0,0.512526,-0.567294,-0.209484,138.84,0.76,74,0,0,
1,1,0.420588,-0.4625,-0.158397,138.863,0.612,0,0,0,
1,11,0.487348,-0.539904,-0.0606604,138.913,0.696,1,0,0,
