FrameNumbers,Laser_ID,Points_X,Points_Y,Points_Z,Azimuth,Distance,Intensity,Distance_2,Intensity_2,
1,1,0.0930952,-2.1492,-0.567331,177.853,2.192,65,0,0,
1,2,0.0923188,-2.15105,-0.528357,177.875,2.184,75,0,0,
1,3,0.0915149,-2.15219,-0.489494,177.897,2.176,62,0,0,
1,0,0.0873665,-2.1546,-0.608607,178.01,2.208,75,0,0,
1,8,0.0877265,-2.17111,-0.300614,178.016,2.16,78,0,0,
1,1,0.0863431,-2.14948,-0.567331,178.033,2.192,63,0,0,
1,9,0.0905766,-2.27923,-0.275912,178.038,2.264,76,0,0,
1,2,0.0855609,-2.15133,-0.528357,178.055,2.184,75,0,0,
1,3,0.0847529,-2.15247,-0.489494,178.077,2.176,63,0,0,
1,4,0.0879418,-2.27412,-0.476534,178.1,2.292,30,0,0,
1,0,0.0805969,-2.15486,-0.608607,178.19,2.208,74,0,0,
1,8,0.0809051,-2.17138,-0.300614,178.196,2.16,78,0,0,
1,1,0.0797107,-2.1536,-0.568367,178.212,2.196,75,0,0,
1,9,0.083292,-2.27553,-0.275425,178.218,2.26,76,0,0,
1,2,0.0789212,-2.15547,-0.529325,178.235,2.188,75,0,0,
1,3,0.07799,-2.15272,-0.489494,178.258,2.176,63,0,0,
1,4,0.0810322,-2.2822,-0.478197,178.28,2.3,37,0,0,
1,5,0.086887,-2.51002,-0.481602,178.302,2.524,26,0,0,
1,0,0.0738271,-2.15511,-0.608607,178.37,2.208,72,0,0,
1,8,0.0739711,-2.16766,-0.300057,178.376,2.156,78,0,0,
1,1,0.0728358,-2.14998,-0.567331,178.393,2.192,62,0,0,
1,9,0.0762541,-2.27975,-0.275912,178.398,2.264,76,0,0,
1,2,0.0721495,-2.1557,-0.529325,178.415,2.188,75,0,0,
1,10,0.0872137,-2.70975,-0.281391,178.421,2.692,41,0,0,
1,18,0.0931261,-2.93465,0.101348,178.426,2.904,77,0,0,
1,3,0.0713332,-2.15685,-0.490393,178.438,2.18,61,0,0,
1,11,0.0926591,-2.9493,-0.255192,178.443,2.928,76,0,0,
1,19,0.0919143,-2.93248,0.151984,178.449,2.904,76,0,0,
1,4,0.0738624,-2.28245,-0.478197,178.46,2.3,31,0,0,
1,12,0.0912882,-2.94138,-0.20341,178.466,2.916,78,0,0,
