FrameNumbers,Laser_ID,Points_X,Points_Y,Points_Z,Azimuth,Distance,Intensity,Distance_2,Intensity_2,
1,31,-0.243689,-6.36569,1.69785,182.305,6.56,23,0,0,
1,31,-0.263651,-6.3649,1.69785,182.484,6.56,25,0,0,
1,31,-0.284004,-6.37176,1.69992,182.664,6.568,24,0,0,
1,11,-0.230954,-5.08134,-0.442054,182.743,5.072,4,0,0,
1,12,-0.232129,-5.06427,-0.352131,182.766,5.048,6,0,0,
1,13,-0.232437,-5.02965,-0.262098,182.788,5.008,6,0,0,
1,31,-0.304021,-6.37083,1.69992,182.844,6.568,24,0,0,
1,11,-0.246306,-5.06865,-0.441008,182.923,5.06,4,0,0,
1,12,-0.247628,-5.05555,-0.351573,182.946,5.04,4,0,0,
1,13,-0.248443,-5.03289,-0.262308,182.968,5.012,4,0,0,
1,31,-0.324237,-6.3737,1.70096,183.024,6.572,24,0,0,
1,11,-0.262014,-5.06387,-0.440659,183.103,5.056,4,0,0,
1,12,-0.263291,-5.05076,-0.351294,183.126,5.036,4,0,0,
1,13,-0.263596,-5.02012,-0.26168,183.148,5,4,0,0,
1,31,-0.344692,-6.38037,1.70303,183.204,6.58,23,0,0,
1,11,-0.277464,-5.05507,-0.439962,183.283,5.048,4,0,0,
1,12,-0.278928,-5.04592,-0.351015,183.306,5.032,4,0,0,
1,13,-0.279597,-5.02325,-0.261889,183.328,5.004,4,0,0,
1,31,-0.364734,-6.37925,1.70303,183.384,6.58,24,0,0,
1,11,-0.293104,-5.05019,-0.439614,183.463,5.044,4,0,0,
1,12,-0.294293,-5.03706,-0.350457,183.486,5.024,4,0,0,
1,13,-0.294644,-5.01039,-0.261261,183.508,4.992,4,0,0,
1,31,-0.384774,-6.37808,1.70303,183.564,6.58,24,0,0,
1,11,-0.308461,-5.04129,-0.438916,183.643,5.036,4,0,0,
1,12,-0.310117,-5.03611,-0.350457,183.666,5.024,4,0,0,
1,13,-0.310382,-5.00944,-0.261261,183.688,4.992,4,0,0,
1,31,-0.405061,-6.38069,1.70406,183.744,6.584,25,0,0,
1,10,-0.325187,-5.08362,-0.531841,183.801,5.088,24,0,0,
1,11,-0.324031,-5.03632,-0.438568,183.823,5.032,4,0,0,
1,12,-0.325133,-5.02316,-0.349619,183.846,5.012,6,0,0,
1,13,-0.326118,-5.00844,-0.261261,183.868,4.992,4,0,0,
1,31,-0.425368,-6.38324,1.7051,183.924,6.588,24,0,0,
1,10,-0.339443,-5.07073,-0.530586,183.971,5.076,4,0,0,
1,11,-0.338696,-5.03136,-0.438219,183.993,5.028,4,0,0,
1,12,-0.339756,-5.0182,-0.34934,184.016,5.008,4,0,0,
1,13,-0.340415,-4.99948,-0.260842,184.038,4.984,4,0,0,
1,31,-0.444583,-6.38581,1.70614,184.094,6.592,24,0,0,
1,10,-0.35422,-5.05377,-0.528914,184.151,5.06,4,0,0,
1,11,-0.35421,-5.0263,-0.43787,184.173,5.024,4,0,0,
1,12,-0.35552,-5.0171,-0.34934,184.196,5.008,6,0,0,
1,13,-0.355825,-4.9944,-0.260633,184.218,4.98,4,0,0,
1,31,-0.465218,-6.39208,1.70821,184.274,6.6,23,0,0,
1,10,-0.368292,-5.02883,-0.526405,184.331,5.036,4,0,0,
1,11,-0.369395,-5.01722,-0.437173,184.353,5.016,4,0,0,
1,12,-0.37067,-5.00801,-0.348782,184.376,5,4,0,0,
1,13,-0.371514,-4.99326,-0.260633,184.398,4.98,4,0,0,
1,31,-0.485297,-6.39059,1.70821,184.454,6.6,23,0,0,
1,10,-0.384402,-5.03161,-0.526823,184.511,5.04,10,0,0,
1,11,-0.384839,-5.01206,-0.436825,184.533,5.012,4,0,0,
1,12,-0.386402,-5.00682,-0.348782,184.556,5,4,0,0,
1,13,-0.38688,-4.98808,-0.260424,184.578,4.976,4,0,0,
1,31,-0.505371,-6.38904,1.70821,184.634,6.6,23,0,0,
1,10,-0.399556,-5.02245,-0.525987,184.691,5.032,4,0,0,
1,11,-0.400584,-5.01083,-0.436825,184.713,5.012,4,0,0,
1,12,-0.4018,-5.0016,-0.348503,184.736,4.996,4,0,0,
1,13,-0.402218,-4.98286,-0.260214,184.758,4.972,4,0,0,
1,31,-0.525765,-6.39127,1.70924,184.814,6.604,23,0,0,
1,10,-0.415334,-5.02117,-0.525987,184.871,5.032,11,0,0,
1,11,-0.416323,-5.00954,-0.436825,184.893,5.012,4,0,0,
1,12,-0.417169,-4.99634,-0.348224,184.916,4.992,6,0,0,
1,13,-0.417869,-4.98158,-0.260214,184.938,4.972,4,0,0,
1,31,-0.545841,-6.38958,1.70924,184.994,6.604,23,0,0,
1,10,-0.431806,-5.02777,-0.526823,185.051,5.04,15,0,0,
1,11,-0.432058,-5.00821,-0.436825,185.073,5.012,4,0,0,
1,12,-0.433218,-4.99898,-0.348503,185.096,4.996,4,0,0,
1,13,-0.43316,-4.97626,-0.260005,185.118,4.968,4,0,0,
1,31,-0.566607,-6.39553,1.71131,185.174,6.612,23,0,0,
1,10,-0.448323,-5.03431,-0.52766,185.231,5.048,44,0,0,
1,11,-0.447791,-5.00683,-0.436825,185.253,5.012,4,0,0,
1,12,-0.44892,-4.99759,-0.348503,185.276,4.996,6,0,0,
1,13,-0.448792,-4.97487,-0.260005,185.298,4.968,4,0,0,
1,31,-0.586698,-6.39372,1.71131,185.354,6.612,23,0,0,
1,10,-0.467139,-5.06456,-0.531005,185.411,5.08,43,0,0,
1,11,-0.46314,-5.00143,-0.436476,185.433,5.008,4,0,0,
1,12,-0.464239,-4.99219,-0.348224,185.456,4.992,4,0,0,
1,13,-0.464037,-4.96946,-0.259796,185.478,4.964,4,0,0,
1,31,-0.607526,-6.39954,1.71338,185.534,6.62,22,0,0,
1,10,-0.480861,-5.04329,-0.528914,185.588,5.06,44,0,0,
1,11,-0.478495,-4.99998,-0.436476,185.609,5.008,4,0,0,
1,12,-0.479457,-4.99075,-0.348224,185.63,4.992,4,0,0,
1,13,-0.479079,-4.96804,-0.259796,185.652,4.964,4,0,0,
1,31,-0.626548,-6.3977,1.71338,185.705,6.62,22,0,0,
1,10,-0.49687,-5.04974,-0.52975,185.761,5.068,16,0,0,
1,11,-0.494085,-5.00247,-0.436825,185.783,5.012,4,0,0,
1,12,-0.494726,-4.98926,-0.348224,185.806,4.992,4,0,0,
1,13,-0.49398,-4.96256,-0.259586,185.828,4.96,4,0,0,
1,31,-0.647003,-6.39955,1.71442,185.884,6.624,22,0,0,
1,10,-0.516437,-5.08376,-0.533513,185.941,5.104,36,0,0,
