FrameNumbers,Laser_ID,Points_X,Points_Y,Points_Z,Azimuth,Distance,Intensity,Distance_2,Intensity_2,
1,8,0.52659,-2.12444,-0.302841,166.406,2.176,76,0,0,
1,8,0.521751,-2.13379,-0.303954,166.586,2.184,76,0,0,
1,8,0.515045,-2.13542,-0.303954,166.766,2.184,76,0,0,
1,8,0.506544,-2.12931,-0.302841,166.946,2.176,76,0,0,
1,8,0.500735,-2.13475,-0.303397,167.126,2.18,76,0,0,
1,8,0.494885,-2.14018,-0.303954,167.306,2.184,76,0,0,
1,9,0.533405,-2.31567,-0.287612,167.33,2.36,71,0,0,
1,7,0.533113,-2.34045,-0.374817,167.466,2.396,86,0,0,
1,8,0.486939,-2.13794,-0.303397,167.496,2.18,76,0,0,
1,9,0.526644,-2.32129,-0.288099,167.518,2.364,72,0,0,
1,7,0.525707,-2.34213,-0.374817,167.647,2.396,86,0,0,
1,8,0.48022,-2.13946,-0.303397,167.676,2.18,76,0,0,
1,9,0.518504,-2.31905,-0.287612,167.698,2.36,71,0,0,
1,7,0.518346,-2.34377,-0.374817,167.827,2.396,86,0,0,
1,8,0.473496,-2.14095,-0.303397,167.856,2.18,77,0,0,
1,9,0.509548,-2.31291,-0.286637,167.878,2.352,72,0,0,
1,7,0.5118,-2.34925,-0.375443,168.008,2.4,86,0,0,
1,8,0.465947,-2.13856,-0.302841,168.036,2.176,76,0,0,
1,9,0.503922,-2.32226,-0.287612,168.058,2.36,74,0,0,
1,7,0.506035,-2.35858,-0.376694,168.188,2.408,86,0,0,
1,8,0.459226,-2.14001,-0.302841,168.216,2.176,76,0,0,
1,9,0.495815,-2.31995,-0.287124,168.238,2.356,73,0,0,
1,7,0.497827,-2.35629,-0.376068,168.367,2.404,86,0,0,
1,8,0.453297,-2.14532,-0.303397,168.396,2.18,76,0,0,
1,9,0.487727,-2.31761,-0.286637,168.418,2.352,75,0,0,
1,10,0.530794,-2.53281,-0.268429,168.441,2.568,4,0,0,
1,7,0.489637,-2.35397,-0.375443,168.548,2.4,85,0,0,
1,8,0.444986,-2.13897,-0.302284,168.576,2.172,77,0,0,
1,9,0.481228,-2.32302,-0.287124,168.598,2.356,74,0,0,
1,10,0.520479,-2.52277,-0.267175,168.621,2.556,7,0,0,
1,7,0.483784,-2.36324,-0.376694,168.728,2.408,86,0,0,
1,8,0.438663,-2.14432,-0.302841,168.766,2.176,77,0,0,
