FrameNumbers,Laser_ID,Points_X,Points_Y,Points_Z,Azimuth,Distance,Intensity,Distance_2,Intensity_2,
1,9,-1.85225,-0.422817,-0.229114,167.518,1.88,27,0,0,
1,9,-1.85357,-0.416996,-0.229114,167.698,1.88,29,0,0,
1,8,-1.90086,-0.421831,-0.268882,167.856,1.932,57,0,0,
1,9,-1.85487,-0.41117,-0.229114,167.878,1.88,30,0,0,
1,4,-1.92832,-0.424766,-0.412497,167.94,1.984,59,0,0,
1,5,-1.92372,-0.422992,-0.376275,167.962,1.972,55,0,0,
1,6,-1.92232,-0.421902,-0.341045,167.985,1.964,39,0,0,
1,7,-1.93575,-0.423964,-0.308489,168.008,1.972,45,0,0,
1,8,-1.90605,-0.416678,-0.269439,168.036,1.936,56,0,0,
1,1,-1.93189,-0.421558,-0.520744,168.052,2.012,57,0,0,
1,9,-1.86004,-0.406163,-0.229602,168.058,1.884,30,0,0,
1,2,-1.93306,-0.421012,-0.484811,168.075,2.004,65,0,0,
1,3,-1.92978,-0.419525,-0.448102,168.098,1.992,60,0,0,
1,4,-1.93348,-0.419511,-0.413328,168.12,1.988,60,0,0,
1,5,-1.93273,-0.41856,-0.377802,168.142,1.98,56,0,0,
1,6,-1.92749,-0.416669,-0.34174,168.165,1.968,39,0,0,
1,7,-1.93707,-0.417881,-0.308489,168.188,1.972,44,0,0,
1,0,-1.96902,-0.423756,-0.567813,168.21,2.06,80,0,0,
1,8,-1.90348,-0.409879,-0.268882,168.216,1.932,57,0,0,
1,1,-1.93699,-0.416274,-0.521779,168.233,2.016,57,0,0,
1,9,-1.8613,-0.400317,-0.229602,168.238,1.884,31,0,0,
1,2,-1.93438,-0.414937,-0.484811,168.255,2.004,65,0,0,
1,3,-1.93109,-0.413461,-0.448102,168.277,1.992,62,0,0,
1,4,-1.93095,-0.412641,-0.412497,168.3,1.984,57,0,0,
1,5,-1.93403,-0.412485,-0.377802,168.323,1.98,55,0,0,
1,6,-1.92879,-0.410611,-0.34174,168.345,1.968,38,0,0,
1,7,-1.94224,-0.41259,-0.309114,168.367,1.976,46,0,0,
1,0,-1.98541,-0.420663,-0.572223,168.39,2.076,78,0,0,
1,8,-1.91252,-0.405491,-0.269996,168.396,1.94,57,0,0,
1,1,-1.94207,-0.410963,-0.522814,168.413,2.02,55,0,0,
1,9,-1.86255,-0.394468,-0.229602,168.418,1.884,31,0,0,
1,2,-1.93947,-0.409636,-0.485779,168.435,2.008,61,0,0,
1,3,-1.94383,-0.409732,-0.450802,168.458,2.004,58,0,0,
1,4,-1.93608,-0.407354,-0.413328,168.48,1.988,53,0,0,
