FrameNumbers,Laser_ID,Points_X,Points_Y,Points_Z,Azimuth,Distance,Intensity,Distance_2,Intensity_2,
1,5,0.0123093,-4.25094,-0.819715,90.0025,4.296,56,0,0,
1,13,0.0119242,-4.02439,-0.209134,90.0081,3.996,50,0,0,
1,21,0.0114752,-4.24977,0.368843,90.0137,4.232,81,0,0,
1,29,0.011063,-4.23536,0.969989,90.0194,4.312,79,0,0,
1,6,0.0106358,-4.26067,-0.745298,90.025,4.292,81,0,0,
1,14,0.0104128,-3.89552,-0.134852,90.0306,3.864,32,0,0,
1,22,0.00980835,-4.24667,0.442783,90.0362,4.236,81,0,0,
1,15,0.0085366,-4.26923,-0.0739284,90.0531,4.236,82,0,0,
1,23,0.0081412,-4.24624,0.517213,90.0587,4.244,81,0,0,
1,16,0.00646805,-4.24988,0,90.0813,4.216,83,0,0,
1,24,0.00604712,-4.25243,0.592877,90.0869,4.26,84,0,0,
1,9,0.00590295,-3.84923,-0.468466,90.0981,3.844,4,0,0,
1,17,0.00479311,-4.25324,0.0736492,90.1038,4.22,82,0,0,
1,25,0.00439824,-4.24144,0.666411,90.1094,4.26,84,0,0,
1,2,0.00534591,-3.56188,-0.879628,90.115,3.636,76,0,0,
1,10,0.00404829,-4.01197,-0.418114,90.1206,4,33,0,0,
1,18,0.00312718,-4.25132,0.147276,90.1263,4.22,81,0,0,
1,26,0.00274281,-4.23705,0.74113,90.1319,4.268,84,0,0,
1,3,0.00334114,-3.81444,-0.87281,90.1375,3.88,61,0,0,
1,11,0.0024661,-4.01468,-0.348274,90.1431,3.996,34,0,0,
1,19,0.00146611,-4.2481,0.220858,90.1488,4.22,82,0,0,
1,27,0.00109441,-4.23132,0.815899,90.1544,4.276,82,0,0,
1,4,0.00106979,-4.09124,-0.862418,90.16,4.148,29,0,0,
1,12,0.000885315,-4.01616,-0.278468,90.1656,3.992,34,0,0,
1,20,-0.000212468,-4.25159,0.29493,90.1712,4.228,83,0,0,
1,28,-0.000569538,-4.2321,0.892357,90.1769,4.292,80,0,0,
1,5,-0.00100798,-4.23918,-0.817426,90.1825,4.284,54,0,0,
1,13,-0.000613921,-3.99246,-0.20746,90.1881,3.964,33,0,0,
1,21,-0.00187589,-4.24978,0.368843,90.1937,4.232,81,0,0,
1,29,-0.00220212,-4.22368,0.96729,90.1994,4.3,79,0,0,
1,14,-0.00173723,-3.87155,-0.134014,90.2106,3.84,32,0,0,
1,22,-0.003533,-4.24668,0.442783,90.2162,4.236,82,0,0,
1,15,-0.00484309,-4.26124,-0.0737888,90.2331,4.228,82,0,0,
1,23,-0.00519882,-4.24625,0.517213,90.2387,4.244,80,0,0,
1,0,-0.000286172,-2.92922,-0.83022,90.25,3.012,2,0,0,
1,16,-0.00688338,-4.24988,0,90.2613,4.216,83,0,0,
1,24,-0.00723849,-4.23658,0.590651,90.2669,4.244,84,0,0,
1,1,-0.00141136,-2.92395,-0.774387,90.2725,2.992,3,0,0,
1,17,-0.00854906,-4.24924,0.0735793,90.2838,4.216,82,0,0,
1,25,-0.00890669,-4.23748,0.665785,90.2894,4.256,84,0,0,
1,10,-0.0084931,-4.00003,-0.41686,90.3006,3.988,32,0,0,
1,18,-0.0102074,-4.24731,0.147136,90.3063,4.216,82,0,0,
1,26,-0.0106112,-4.24491,0.74252,90.3119,4.276,84,0,0,
1,11,-0.010034,-3.99475,-0.346531,90.3231,3.976,35,0,0,
1,19,-0.0118797,-4.24809,0.220858,90.3288,4.22,82,0,0,
1,27,-0.0122216,-4.23523,0.816663,90.3344,4.28,82,0,0,
1,4,-0.0118523,-4.10296,-0.864913,90.34,4.16,28,0,0,
1,12,-0.0115633,-3.98822,-0.276515,90.3456,3.964,38,0,0,
