FrameNumbers,Laser_ID,Points_X,Points_Y,Points_Z,Azimuth,Distance,Intensity,Distance_2,Intensity_2,
1,0,1.31854,-1.17788,-0.49725,132.18,1.804,1,0,0,
1,0,1.32335,-1.18978,-0.500557,132.36,1.816,1,0,0,
1,0,1.32433,-1.2059,-0.503865,132.72,1.828,2,0,0,
1,0,1.31549,-1.22119,-0.504968,133.27,1.832,1,0,0,
1,0,1.32303,-1.23567,-0.509378,133.44,1.848,1,0,0,
1,0,1.308,-1.22921,-0.504968,133.62,1.832,2,0,0,
1,0,1.31246,-1.24129,-0.508275,133.8,1.844,2,0,0,
1,0,1.31409,-1.25075,-0.51048,133.98,1.852,2,0,0,
1,0,1.29084,-1.23612,-0.502763,134.16,1.824,2,0,0,
1,0,1.29245,-1.24555,-0.504968,134.34,1.832,2,0,0,
1,0,1.27757,-1.23882,-0.500557,134.52,1.816,2,0,0,
1,0,1.31467,-1.28339,-0.517096,134.7,1.876,2,0,0,
1,0,1.29973,-1.27666,-0.512685,134.88,1.86,2,0,0,
1,3,1.31272,-1.29267,-0.417509,134.948,1.856,2,0,0,
1,0,1.28213,-1.26713,-0.507173,135.06,1.84,2,0,0,
1,3,1.3114,-1.29954,-0.418409,135.128,1.86,2,0,0,
1,0,1.29168,-1.2848,-0.512685,135.24,1.86,2,0,0,
1,3,1.29909,-1.29535,-0.41571,135.307,1.848,2,0,0,
1,4,1.32275,-1.3203,-0.390042,135.33,1.876,3,0,0,
1,5,1.31854,-1.31708,-0.355668,135.353,1.864,3,0,0,
1,0,1.28764,-1.28886,-0.512685,135.42,1.86,2,0,0,
1,3,1.29228,-1.29664,-0.41481,135.488,1.844,2,0,0,
1,4,1.31037,-1.31607,-0.387547,135.51,1.864,3,0,0,
1,5,1.31714,-1.32402,-0.356431,135.533,1.868,3,0,0,
1,0,1.2782,-1.2874,-0.51048,135.6,1.852,1,0,0,
1,2,1.31331,-1.32534,-0.456749,135.645,1.888,2,0,0,
1,3,1.28003,-1.29233,-0.41211,135.668,1.832,2,0,0,
1,4,1.31169,-1.32578,-0.389211,135.69,1.872,3,0,0,
1,5,1.29927,-1.3141,-0.352615,135.712,1.848,3,0,0,
1,7,1.31983,-1.33729,-0.29222,135.758,1.868,3,0,0,
1,0,1.25806,-1.27488,-0.503865,135.78,1.828,0,0,0,
1,2,1.30643,-1.32668,-0.455781,135.825,1.884,3,0,0,
1,3,1.27597,-1.29635,-0.41211,135.848,1.832,2,0,0,
1,4,1.2939,-1.31586,-0.385052,135.87,1.852,3,0,0,
1,5,1.29513,-1.31817,-0.352615,135.893,1.848,3,0,0,
1,6,1.32063,-1.34554,-0.326459,135.915,1.88,3,0,0,
1,2,1.27261,-1.30006,-0.445136,136.005,1.84,2,0,0,
1,3,1.27459,-1.30315,-0.41301,136.027,1.836,2,0,0,
1,4,1.2789,-1.30865,-0.381726,136.05,1.836,2,0,0,
1,5,1.28281,-1.31375,-0.350325,136.073,1.836,3,0,0,
1,6,1.31366,-1.34684,-0.325764,136.095,1.876,3,0,0,
1,7,1.32236,-1.35695,-0.294723,136.117,1.884,3,0,0,
1,2,1.26314,-1.29845,-0.443201,136.185,1.832,2,0,0,
1,3,1.23813,-1.27339,-0.402212,136.208,1.788,2,0,0,
1,4,1.2856,-1.32396,-0.385052,136.23,1.852,2,0,0,
1,5,1.27868,-1.31777,-0.350325,136.253,1.836,3,0,0,
1,6,1.29854,-1.33958,-0.322986,136.275,1.86,3,0,0,
1,7,1.29625,-1.33825,-0.289717,136.298,1.852,3,0,0,
1,8,1.32351,-1.36812,-0.262759,136.326,1.888,3,0,0,
1,2,1.25638,-1.29961,-0.442233,136.365,1.828,2,0,0,
1,3,1.25294,-1.29703,-0.408511,136.388,1.816,2,0,0,
1,4,1.28683,-1.33366,-0.386716,136.41,1.86,2,0,0,
1,5,1.26912,-1.31609,-0.348799,136.433,1.828,3,0,0,
1,6,1.29161,-1.34079,-0.322291,136.455,1.856,3,0,0,
1,7,1.28932,-1.33945,-0.289091,136.478,1.848,3,0,0,
1,8,1.31648,-1.3694,-0.262202,136.506,1.884,3,0,0,
1,9,1.32436,-1.3788,-0.230577,136.528,1.892,4,0,0,
1,2,1.25229,-1.30355,-0.442233,136.545,1.828,2,0,0,
1,3,1.23546,-1.28681,-0.404012,136.568,1.796,2,0,0,
1,4,1.26113,-1.31496,-0.380063,136.59,1.828,3,0,0,
1,5,1.25689,-1.31151,-0.346509,136.612,1.816,3,0,0,
1,6,1.28198,-1.33912,-0.320902,136.635,1.848,3,0,0,
1,7,1.28782,-1.34637,-0.289717,136.658,1.852,3,0,0,
1,8,1.30673,-1.36777,-0.261089,136.686,1.876,3,0,0,
1,9,1.31454,-1.37721,-0.229602,136.71,1.884,3,0,0,
1,2,1.24281,-1.30188,-0.440298,136.727,1.82,2,0,0,
1,3,1.22866,-1.28792,-0.403112,136.751,1.792,2,0,0,
1,4,1.24884,-1.31047,-0.377568,136.775,1.816,2,0,0,
1,5,1.24724,-1.30987,-0.344983,136.799,1.808,3,0,0,
1,6,1.2722,-1.33756,-0.319513,136.822,1.84,3,0,0,
1,7,1.26176,-1.32754,-0.284711,136.846,1.82,3,0,0,
1,8,1.29678,-1.36631,-0.259975,136.876,1.868,3,0,0,
1,9,1.31,-1.38152,-0.229602,136.898,1.884,4,0,0,
1,2,1.22794,-1.2946,-0.436427,136.915,1.804,2,0,0,
1,3,1.21116,-1.27767,-0.398613,136.938,1.772,2,0,0,
1,4,1.23125,-1.3002,-0.373409,136.96,1.796,2,0,0,
1,5,1.23768,-1.30812,-0.343456,136.982,1.8,3,0,0,
1,6,1.26256,-1.33584,-0.318123,137.005,1.832,3,0,0,
1,7,1.26294,-1.33731,-0.285962,137.027,1.828,3,0,0,
1,8,1.28978,-1.36748,-0.259419,137.056,1.864,3,0,0,
1,9,1.29484,-1.374,-0.227652,137.078,1.868,3,0,0,
1,2,1.22386,-1.29845,-0.436427,137.095,1.804,2,0,0,
1,10,1.32119,-1.40344,-0.199022,137.101,1.904,4,0,0,
1,3,1.20714,-1.28147,-0.398613,137.117,1.772,2,0,0,
1,4,1.23248,-1.30979,-0.375073,137.14,1.804,2,0,0,
1,5,1.23089,-1.30912,-0.342693,137.163,1.796,3,0,0,
1,6,1.253,-1.33402,-0.316734,137.185,1.824,3,0,0,
1,7,1.25336,-1.33547,-0.284711,137.207,1.82,3,0,0,
1,8,1.27741,-1.3628,-0.257749,137.236,1.852,3,0,0,
1,9,1.28513,-1.37223,-0.226677,137.258,1.86,4,0,0,
1,2,1.21451,-1.29659,-0.434492,137.275,1.796,2,0,0,
1,10,1.31407,-1.40466,-0.198604,137.281,1.9,3,0,0,
1,3,1.1846,-1.26521,-0.392315,137.298,1.744,2,0,0,
1,4,1.23101,-1.31654,-0.375904,137.32,1.808,2,0,0,
1,5,1.21081,-1.29566,-0.338114,137.342,1.772,3,0,0,
1,6,1.24614,-1.33506,-0.31604,137.365,1.82,3,0,0,
1,7,1.24649,-1.3365,-0.284085,137.387,1.816,3,0,0,
1,8,1.27312,-1.36681,-0.257749,137.416,1.852,3,0,0,
1,9,1.28081,-1.37626,-0.226677,137.438,1.86,3,0,0,
1,2,1.20518,-1.29468,-0.432556,137.455,1.788,2,0,0,
1,10,1.30158,-1.39999,-0.19735,137.461,1.888,4,0,0,
1,3,1.17799,-1.26605,-0.391415,137.478,1.74,1,0,0,
1,11,1.31663,-1.41751,-0.166293,137.483,1.908,4,0,0,
1,4,1.22158,-1.31463,-0.374241,137.5,1.8,2,0,0,
1,5,1.20939,-1.30235,-0.338877,137.522,1.776,2,0,0,
1,6,1.23928,-1.33606,-0.315345,137.545,1.816,3,0,0,
1,7,1.23162,-1.32874,-0.281582,137.568,1.8,3,0,0,
1,8,1.26349,-1.36494,-0.256635,137.595,1.844,3,0,0,
1,9,1.26849,-1.37145,-0.225215,137.617,1.848,3,0,0,
1,2,1.19071,-1.28693,-0.428686,137.632,1.772,2,0,0,
1,10,1.29189,-1.39813,-0.196514,137.638,1.88,3,0,0,
1,3,1.18722,-1.28407,-0.395914,137.654,1.76,2,0,0,
1,11,1.30691,-1.41566,-0.165596,137.659,1.9,4,0,0,
1,4,1.20702,-1.30678,-0.370914,137.675,1.784,2,0,0,
1,5,1.20015,-1.3002,-0.33735,137.696,1.768,3,0,0,
1,6,1.2326,-1.33687,-0.314651,137.717,1.812,3,0,0,
1,7,1.2303,-1.33534,-0.282208,137.739,1.804,3,0,0,
1,8,1.2541,-1.36283,-0.255522,137.766,1.836,3,0,0,
1,1,1.15876,-1.25856,-0.44931,137.783,1.736,1,0,0,
1,9,1.26438,-1.37524,-0.225215,137.788,1.848,3,0,0,
1,2,1.18943,-1.29339,-0.429653,137.805,1.776,2,0,0,
1,10,1.28499,-1.39907,-0.196095,137.811,1.876,4,0,0,
1,3,1.1807,-1.28478,-0.395014,137.827,1.756,1,0,0,
1,11,1.30527,-1.42258,-0.165945,137.833,1.904,3,0,0,
1,4,1.19515,-1.30176,-0.368419,137.85,1.772,2,0,0,
1,5,1.19087,-1.29807,-0.335824,137.872,1.76,3,0,0,
1,6,1.22581,-1.33776,-0.313956,137.895,1.808,3,0,0,
1,7,1.21554,-1.32744,-0.279705,137.917,1.788,3,0,0,
1,8,1.24451,-1.36088,-0.254408,137.946,1.828,3,0,0,
1,1,1.13152,-1.23637,-0.439992,137.962,1.7,1,0,0,
1,9,1.24942,-1.36741,-0.223265,137.968,1.832,3,0,0,
1,2,1.17497,-1.28558,-0.425783,137.985,1.76,2,0,0,
