Flag,Azimuth,Channel,Distance,Intensity,Vertical_Angle,Horizontal_Angle,Points_X,Points_Y,Points_Z
ffee,356.1,0,2.212,3,-16,356.1,-0.145,2.121,-0.61
ffee,356.1,1,1.976,4,-8,356.1,-0.133,1.952,-0.275
ffee,356.1,2,2.736,16,0,356.1,-0.186,2.73,0.0
ffee,356.1,3,7.5,81,8,356.1,-0.505,7.41,1.044
ffee,356.1,4,2.036,75,-15,356.1,-0.134,1.962,-0.527
ffee,356.1,5,1.964,4,-7,356.1,-0.133,1.945,-0.239
ffee,356.1,6,2.732,13,1,356.1,-0.186,2.725,0.048
ffee,356.1,7,7.516,82,9,356.1,-0.505,7.406,1.176
ffee,356.1,8,2.044,75,-14,356.1,-0.135,1.979,-0.494
ffee,356.1,9,1.96,3,-6,356.1,-0.133,1.945,-0.205
ffee,356.1,10,2.988,40,2,356.1,-0.203,2.979,0.104
ffee,356.1,11,7.536,81,10,356.1,-0.505,7.404,1.309
ffee,356.1,12,2.072,51,-13,356.1,-0.137,2.014,-0.466
ffee,356.1,13,1.952,11,-5,356.1,-0.132,1.94,-0.17
ffee,356.1,14,2.984,40,3,356.1,-0.203,2.973,0.156
ffee,356.1,15,7.552,81,11,356.1,-0.504,7.396,1.441
ffee,356.1,16,1.968,4,-12,356.1,-0.131,1.921,-0.409
ffee,356.1,17,2.648,31,-4,356.1,-0.18,2.635,-0.185
ffee,356.1,18,2.996,42,4,356.1,-0.203,2.982,0.209
ffee,356.1,19,7.384,76,12,356.1,-0.491,7.206,1.535
ffee,356.1,20,1.952,3,-11,356.1,-0.13,1.912,-0.372
ffee,356.1,21,2.688,19,-3,356.1,-0.183,2.678,-0.141
ffee,356.1,22,2.992,38,5,356.1,-0.203,2.974,0.261
ffee,356.1,23,7.368,76,13,356.1,-0.488,7.163,1.657
ffee,356.1,24,1.98,3,-10,356.1,-0.133,1.945,-0.344
ffee,356.1,25,2.708,15,-2,356.1,-0.184,2.7,-0.095
ffee,356.1,26,7.452,81,6,356.1,-0.504,7.394,0.779
ffee,356.1,27,7.376,75,14,356.1,-0.487,7.14,1.784
ffee,356.1,28,1.976,3,-9,356.1,-0.133,1.947,-0.309
ffee,356.1,29,2.728,15,-1,356.1,-0.186,2.721,-0.048
ffee,356.1,30,7.468,80,7,356.1,-0.504,7.395,0.91
ffee,356.1,31,7.228,23,15,356.1,-0.475,6.966,1.871
ffee,356.28,0,2.212,4,-16,356.28,-0.138,2.122,-0.61
ffee,356.28,1,1.984,3,-8,356.28,-0.127,1.961,-0.276
ffee,356.28,2,2.756,16,0,356.28,-0.179,2.75,0.0
ffee,356.28,3,7.484,81,8,356.28,-0.481,7.396,1.042
ffee,356.28,4,2.036,75,-15,356.28,-0.128,1.962,-0.527
ffee,356.28,5,1.952,4,-7,356.28,-0.126,1.933,-0.238
ffee,356.28,6,2.748,12,1,356.28,-0.178,2.742,0.048
ffee,356.28,7,7.504,82,9,356.28,-0.481,7.396,1.174
ffee,356.28,8,2.04,76,-14,356.28,-0.128,1.975,-0.494
ffee,356.28,9,1.968,4,-6,356.28,-0.127,1.953,-0.206
ffee,356.28,10,3.004,33,2,356.28,-0.195,2.996,0.105
ffee,356.28,11,7.524,81,10,356.28,-0.481,7.394,1.307
ffee,356.28,12,2.084,70,-13,356.28,-0.132,2.026,-0.469
ffee,356.28,13,0.0,0,-5,356.28,-0.0,0.0,-0.0
ffee,356.28,14,3.016,41,3,356.28,-0.195,3.006,0.158
ffee,356.28,15,7.544,81,11,356.28,-0.48,7.39,1.439
ffee,356.28,16,1.984,4,-12,356.28,-0.126,1.937,-0.412
ffee,356.28,17,2.684,25,-4,356.28,-0.174,2.672,-0.187
ffee,356.28,18,3.008,43,4,356.28,-0.195,2.994,0.21
ffee,356.28,19,7.372,76,12,356.28,-0.468,7.196,1.533
ffee,356.28,20,1.944,3,-11,356.28,-0.124,1.904,-0.371
ffee,356.28,21,2.708,17,-3,356.28,-0.175,2.699,-0.142
ffee,356.28,22,3.008,39,5,356.28,-0.194,2.99,0.262
ffee,356.28,23,7.356,76,13,356.28,-0.465,7.152,1.655
ffee,356.28,24,1.984,4,-10,356.28,-0.127,1.95,-0.345
ffee,356.28,25,2.724,19,-2,356.28,-0.177,2.717,-0.095
ffee,356.28,26,7.452,81,6,356.28,-0.481,7.396,0.779
ffee,356.28,27,7.368,76,14,356.28,-0.464,7.134,1.782
ffee,356.28,28,1.96,3,-9,356.28,-0.126,1.932,-0.307
ffee,356.28,29,2.748,14,-1,356.28,-0.178,2.742,-0.048
ffee,356.28,30,7.46,81,7,356.28,-0.48,7.389,0.909
ffee,356.28,31,7.224,23,15,356.28,-0.453,6.963,1.87
ffee,356.46,0,2.212,3,-16,356.46,-0.131,2.122,-0.61
ffee,356.46,1,1.968,4,-8,356.46,-0.12,1.945,-0.274
ffee,356.46,2,2.772,14,0,356.46,-0.171,2.767,0.0
ffee,356.46,3,7.48,81,8,356.46,-0.457,7.393,1.041
ffee,356.46,4,2.032,75,-15,356.46,-0.121,1.959,-0.526
ffee,356.46,5,1.952,4,-7,356.46,-0.12,1.934,-0.238
ffee,356.46,6,2.788,12,1,356.46,-0.172,2.782,0.049
ffee,356.46,7,7.492,82,9,356.46,-0.457,7.386,1.172
ffee,356.46,8,2.036,76,-14,356.46,-0.122,1.972,-0.493
ffee,356.46,9,1.968,4,-6,356.46,-0.121,1.953,-0.206
ffee,356.46,10,3.012,35,2,356.46,-0.186,3.004,0.105
ffee,356.46,11,7.52,82,10,356.46,-0.457,7.392,1.306
ffee,356.46,12,2.096,71,-13,356.46,-0.126,2.038,-0.471
ffee,356.46,13,0.0,0,-5,356.46,-0.0,0.0,-0.0
ffee,356.46,14,3.028,40,3,356.46,-0.187,3.018,0.158
ffee,356.46,15,7.528,81,11,356.46,-0.456,7.376,1.436
ffee,356.46,16,0.0,0,-12,356.46,-0.0,0.0,-0.0
ffee,356.46,17,2.708,17,-4,356.46,-0.167,2.696,-0.189
ffee,356.46,18,3.032,41,4,356.46,-0.187,3.019,0.212
